StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1.1,Q1.2,Q1.2_3_TEXT,Q1.3,Q1.3_7_TEXT,Q1.4,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q2.1_11,Q2.1_12,Q2.1_13,Q2.1_14,Q2.1_15,Q2.1_16,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.2_11,Q2.2_12,Q2.2_13,Q2.2_14,Q2.2_15,Q2.2_16,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q3.1_5,Q3.1_6,Q3.1_7,Q3.1_8,Q3.1_9,Q3.1_10,Q3.1_11,Q3.1_12,Q3.1_13,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q4.1,Q4.2,Q4.3,Q23,Q5_1,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q5_2,Q5_14,Q5_3,Q5_4,Q24,Q24,Q_URL,Q1.1 - Parent Topics,Q1.1 - Sentiment Polarity,Q1.1 - Sentiment Score,Q1.1 - Sentiment,Q1.1 - Topic Sentiment Label,Q1.1 - Topic Sentiment Score,Q1.1 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your participant ID?,What is your age?,What is your sex? - Selected Choice,What is your sex? - Other - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other - Text,What is your academic status?,"When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone suffered emotionally","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not some people were treated differently than others","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone's action showed love for his or her country","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone showed a lack of respect for authority","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone violated standards of purity and decency","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone was good at math","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone cared for someone weak or vulnerable","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone acted unfairly","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone did something to betray his or her group","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone conformed to the traditions of society","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone did something disgusting","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone was cruel","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone was denied his or her rights","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone showed a lack of loyalty","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not an action caused chaos or disorder","When you decide whether something is right or wrong, to what extent are 
the following considerations relevant to your thinking? Please rate each
 statement below. - Whether or not someone acted in a way that God would approve of",Please read the following sentences and indicate your agreement or disagreement. - Compassion for those who are suffering is the most crucial virtue.,"Please read the following sentences and indicate your agreement or disagreement. - When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",Please read the following sentences and indicate your agreement or disagreement. - I am proud of my country's history.,Please read the following sentences and indicate your agreement or disagreement. - Respect for authority is something all children need to learn.,"Please read the following sentences and indicate your agreement or disagreement. - People should not do things that are disgusting, even if no one is harmed.",Please read the following sentences and indicate your agreement or disagreement. - It is better to do good than to do bad.,Please read the following sentences and indicate your agreement or disagreement. - One of the worst things a person could do is hurt a defenseless animal.,Please read the following sentences and indicate your agreement or disagreement. - Justice is the most important requirement for a society.,"Please read the following sentences and indicate your agreement or disagreement. - People should be loyal to their family members, even when they have done something wrong.",Please read the following sentences and indicate your agreement or disagreement. - Men and women each have different roles to play in society.,Please read the following sentences and indicate your agreement or disagreement. - I would call some acts wrong on the grounds that they are unnatural.,Please read the following sentences and indicate your agreement or disagreement. - It can never be right to kill a human being.,Please read the following sentences and indicate your agreement or disagreement. - I think it's morally wrong that rich children inherit a lot of money while poor children inherit nothing.,Please read the following sentences and indicate your agreement or disagreement. - It is more important to be a team player than to express oneself.,"Please read the following sentences and indicate your agreement or disagreement. - If I were a soldier and disagreed with my commanding officer's orders, I would obey anyway because that is my duty.",Please read the following sentences and indicate your agreement or disagreement. - Chastity is an important and valuable virtue.,"Please indicate true or false for the following statements. - I might be willing to try eating monkey meat, under some circumstances.",Please indicate true or false for the following statements. - It would bother me to see a rat run across my path in a park.,Please indicate true or false for the following statements. - Seeing a cockroach in someone else’s house doesn’t bother me.,Please indicate true or false for the following statements. - It bothers me to hear someone clear a throat full of mucus.,"Please indicate true or false for the following statements. - If I see someone vomit, it makes me sick to my stomach.","Please indicate true or false for the following statements. - It would bother me to be in a science class, and see a human hand preserved in a jar.",Please indicate true or false for the following statements. - It would not upset me at all to watch a person with a glass eye take the eye out of the socket.,Please indicate true or false for the following statements. - It would bother me tremendously to touch a dead body.,Please indicate true or false for the following statements. - I would go out of my way to avoid walking through a graveyard.,Please indicate true or false for the following statements. - I never let any part of my body touch the toilet seat in a public washroom.,Please indicate true or false for the following statements. - I probably would not go to my favorite restaurant if I found out that the cook had a cold.,"Please indicate true or false for the following statements. - Even if I was hungry, I would not drink a bowl of my favorite soup it if had been stirred with a used but thoroughly washed flyswatter.",Please indicate true or false for the following statements. - It would bother me to sleep in a nice hotel room if I knew that a man had died of a heart attack in that room the night before.,Please rate how disgusting you would find the following experiences. - If you see someone put ketchup on vanilla ice cream and eat it.,Please rate how disgusting you would find the following experiences. - You are about to drink a glass of milk when you smell that it is spoiled.,Please rate how disgusting you would find the following experiences. - You see maggots on a piece of meat in an outdoor garbage pail.,Please rate how disgusting you would find the following experiences. - You are walking barefoot on concrete and step on an earthworm.,"Please rate how disgusting you would find the following experiences. - While you are walking through a tunnel under a railroad track, you smell urine.",Please rate how disgusting you would find the following experiences. - You see a man with his intestines exposed after an accident.,Please rate how disgusting you would find the following experiences. - Your friend’s pet cat dies and you have to pick up the dead body with your bare hands.,Please rate how disgusting you would find the following experiences. - You accidentally touch the ashes of a person who has been cremated.,Please rate how disgusting you would find the following experiences. - You take a sip of soda and realize that you drank from the glass that an acquaintance of yours had been drinking from.,Please rate how disgusting you would find the following experiences. - You discover that a friend of yours changes underwear only once a week.,Please rate how disgusting you would find the following experiences. - A friend offers you a piece of chocolate shaped like dog-doo.,"Please rate how disgusting you would find the following experiences. - As part of a sex education class, you are required to inflate a new lubricated condom, using your mouth.",Is English your first language?,At what age did you first learn English?,At what age did you feel comfortable speaking English?,Are you predominantly right or left handed?,"Please indicate the extent to which you feel positive or negative towards each issue. Scores of 0 indicate greater negativity, and scores of 100 indicate greater positivity. Scores of 50 indicate that you feel neutral about the issue - Abortion","Please indicate the extent to which you feel positive or negative towards each issue. Scores of 0 indicate greater negativity, and scores of 100 indicate greater positivity. Scores of 50 indicate that you feel neutral about the issue - Limited Government","Please indicate the extent to which you feel positive or negative towards each issue. Scores of 0 indicate greater negativity, and scores of 100 indicate greater positivity. Scores of 50 indicate that you feel neutral about the issue - Military and National Security","Please indicate the extent to which you feel positive or negative towards each issue. Scores of 0 indicate greater negativity, and scores of 100 indicate greater positivity. Scores of 50 indicate that you feel neutral about the issue - Religion","Please indicate the extent to which you feel positive or negative towards each issue. Scores of 0 indicate greater negativity, and scores of 100 indicate greater positivity. Scores of 50 indicate that you feel neutral about the issue - Welfare Benefits","Please indicate the extent to which you feel positive or negative towards each issue. Scores of 0 indicate greater negativity, and scores of 100 indicate greater positivity. Scores of 50 indicate that you feel neutral about the issue - Gun Ownership","Please indicate the extent to which you feel positive or negative towards each issue. Scores of 0 indicate greater negativity, and scores of 100 indicate greater positivity. Scores of 50 indicate that you feel neutral about the issue - Traditional Marriage","Please indicate the extent to which you feel positive or negative towards each issue. Scores of 0 indicate greater negativity, and scores of 100 indicate greater positivity. Scores of 50 indicate that you feel neutral about the issue - Traditional Values","Please indicate the extent to which you feel positive or negative towards each issue. Scores of 0 indicate greater negativity, and scores of 100 indicate greater positivity. Scores of 50 indicate that you feel neutral about the issue - Fiscal Responsibility","Please indicate the extent to which you feel positive or negative towards each issue. Scores of 0 indicate greater negativity, and scores of 100 indicate greater positivity. Scores of 50 indicate that you feel neutral about the issue - Business","Please indicate the extent to which you feel positive or negative towards each issue. Scores of 0 indicate greater negativity, and scores of 100 indicate greater positivity. Scores of 50 indicate that you feel neutral about the issue - The Family Unit","Please indicate the extent to which you feel positive or negative towards each issue. Scores of 0 indicate greater negativity, and scores of 100 indicate greater positivity. Scores of 50 indicate that you feel neutral about the issue - Patriotism","In general, how would you describe your political orientation?","In general, how important is religion in your life?",Q_URL,Q1.1 - Parent Topics,Q1.1 - Sentiment Polarity,Q1.1 - Sentiment Score,Q1.1 - Sentiment,Q1.1 - Topic Sentiment Label,Q1.1 - Topic Sentiment Score,Q1.1 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_3_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_7_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID1_11""}","{""ImportId"":""QID1_12""}","{""ImportId"":""QID1_13""}","{""ImportId"":""QID1_14""}","{""ImportId"":""QID1_15""}","{""ImportId"":""QID1_16""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID3_11""}","{""ImportId"":""QID3_12""}","{""ImportId"":""QID3_13""}","{""ImportId"":""QID3_14""}","{""ImportId"":""QID3_15""}","{""ImportId"":""QID3_16""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID21_6""}","{""ImportId"":""QID21_7""}","{""ImportId"":""QID21_8""}","{""ImportId"":""QID21_9""}","{""ImportId"":""QID21_10""}","{""ImportId"":""QID21_11""}","{""ImportId"":""QID21_12""}","{""ImportId"":""QID21_13""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID23_5""}","{""ImportId"":""QID23_6""}","{""ImportId"":""QID23_7""}","{""ImportId"":""QID23_8""}","{""ImportId"":""QID23_9""}","{""ImportId"":""QID23_10""}","{""ImportId"":""QID23_11""}","{""ImportId"":""QID23_12""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID25""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_7""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID8_9""}","{""ImportId"":""QID8_10""}","{""ImportId"":""QID8_11""}","{""ImportId"":""QID8_12""}","{""ImportId"":""QID8_13""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_14""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID26""}","{""ImportId"":""QID24""}","{""ImportId"":""Q_URL""}","{""ImportId"":""QID15_TEXT_5665ce981591466898c5ec3aParTopics""}","{""ImportId"":""QID15_TEXT_5665ce981591466898c5ec3aSenPol""}","{""ImportId"":""QID15_TEXT_5665ce981591466898c5ec3aSenScore""}","{""ImportId"":""QID15_TEXT_5665ce981591466898c5ec3aSentiment""}","{""ImportId"":""QID15_TEXT_5665ce981591466898c5ec3aTopicSenLabel""}","{""ImportId"":""QID15_TEXT_5665ce981591466898c5ec3aTopicSenScore""}","{""ImportId"":""QID15_TEXT_5665ce981591466898c5ec3aTopics""}"
2019-04-29 16:51:30,2019-04-29 17:21:17,IP Address,128.111.149.100,100,1786,True,2019-04-29 17:21:17,R_1K9HUjWZaT3oN48,,,,,34.4329071044921875,-119.83709716796875,anonymous,EN,1001,19,Female,,Hispanic or Latino,,Undergraduate student,extremely relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,not at all relevant,somewhat relevant,extremely relevant,not at all relevant,very relevant,very relevant,not at all relevant,moderately agree,strongly agree,slightly disagree,moderately disagree,slightly agree,strongly agree,strongly agree,strongly agree,slightly disagree,strongly disagree,slightly agree,strongly agree,slightly agree,moderately disagree,moderately agree,slightly agree,False,True,False,True,True,True,True,True,True,True,True,True,,Very disgusting,Very disgusting,Slightly disgusting,Slightly disgusting,Very disgusting,Very disgusting,Very disgusting,Slightly disgusting,Not disgusting,Very disgusting,Slightly disgusting,Not disgusting,No,0-5 years old,6-9 years old,Left-handed,70,100,61,50,84,10,60,84,50,50,88,50,Neither Liberal Nor Conservative,Very important,https://surveys.qualtrics.com/jfe/form/SV_dbqz71528jakgZv,,,,,,,
2019-05-01 12:58:33,2019-05-01 14:28:00,IP Address,128.111.149.100,100,5366,True,2019-05-01 14:28:01,R_3Ok4z4sZddHPdOC,,,,,34.4329071044921875,-119.83709716796875,anonymous,EN,1002,19,Female,,Other,Asian Indian,Undergraduate student,very relevant,very relevant,slightly relevant,very relevant,very relevant,not very relevant,very relevant,very relevant,very relevant,very relevant,very relevant,extremely relevant,very relevant,somewhat relevant,slightly relevant,extremely relevant,slightly agree,moderately agree,slightly disagree,strongly agree,slightly agree,strongly agree,strongly agree,moderately agree,strongly agree,slightly agree,slightly agree,strongly agree,strongly agree,moderately agree,moderately agree,moderately agree,False,True,False,True,True,True,False,True,True,False,False,True,True,Slightly disgusting,Very disgusting,Very disgusting,Very disgusting,Very disgusting,Very disgusting,Very disgusting,Very disgusting,Not disgusting,Very disgusting,Slightly disgusting,Slightly disgusting,Yes,,,Right-handed,50,31,94,100,83,4,50,100,43,7,100,51,Neither Liberal Nor Conservative,Extremely important,https://surveys.qualtrics.com/jfe/form/SV_dbqz71528jakgZv,,,,,,,
2019-05-01 13:05:53,2019-05-01 13:07:57,IP Address,128.111.149.100,6,123,False,2019-05-08 13:08:10,R_0Ck0FGjjrUcGjqp,,,,,,,anonymous,EN,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://surveys.qualtrics.com/jfe/form/SV_dbqz71528jakgZv,,,,,,,
2019-05-08 12:47:54,2019-05-08 13:37:44,IP Address,128.111.149.100,100,2990,True,2019-05-08 13:37:44,R_2bZ6Tpsa0emKlYT,,,,,34.4329071044921875,-119.83709716796875,anonymous,EN,1003,19,Female,,Asian,,Undergraduate student,very relevant,very relevant,not very relevant,somewhat relevant,somewhat relevant,not at all relevant,somewhat relevant,extremely relevant,very relevant,not very relevant,somewhat relevant,very relevant,very relevant,extremely relevant,very relevant,not at all relevant,slightly agree,strongly agree,strongly disagree,moderately agree,slightly disagree,slightly agree,slightly agree,moderately agree,slightly disagree,slightly agree,slightly agree,slightly disagree,strongly disagree,slightly disagree,slightly agree,moderately disagree,True,False,False,True,True,True,True,True,False,True,False,False,True,Very disgusting,Slightly disgusting,Very disgusting,Slightly disgusting,Slightly disgusting,Very disgusting,Very disgusting,Very disgusting,Not disgusting,Very disgusting,Not disgusting,Not disgusting,Yes,,,Right-handed,90,57,57,35,73,64,50,49,49,49,49,50,Somewhat Liberal,Not at all important,https://surveys.qualtrics.com/jfe/form/SV_dbqz71528jakgZv,,,,,,,
2019-05-08 12:48:08,2019-05-08 14:35:30,IP Address,128.111.149.101,100,6442,True,2019-05-08 14:35:31,R_1N8JkHOLi3EfTTH,,,,,34.4329071044921875,-119.83709716796875,anonymous,EN,1005,19,Male,,White,,Undergraduate student,extremely relevant,extremely relevant,slightly relevant,somewhat relevant,somewhat relevant,not at all relevant,very relevant,very relevant,somewhat relevant,slightly relevant,slightly relevant,very relevant,very relevant,somewhat relevant,not very relevant,not at all relevant,moderately agree,slightly agree,moderately disagree,slightly agree,slightly agree,strongly agree,strongly agree,moderately agree,moderately agree,moderately disagree,slightly disagree,moderately agree,slightly agree,slightly agree,slightly disagree,moderately disagree,False,True,False,True,True,True,False,True,False,False,False,False,False,Very disgusting,Slightly disgusting,Very disgusting,Slightly disgusting,Slightly disgusting,Very disgusting,Very disgusting,Very disgusting,Not disgusting,Very disgusting,Slightly disgusting,Slightly disgusting,No,0-5 years old,0-5 years old,Right-handed,70,20,30,,80,,50,50,75,75,80,60,Strongly Liberal,Not at all important,https://surveys.qualtrics.com/jfe/form/SV_dbqz71528jakgZv,,,,,,,
2019-05-08 16:48:50,2019-05-08 17:27:44,IP Address,128.111.149.100,100,2333,True,2019-05-08 17:27:45,R_2ctEzWmOPpXWoun,,,,,34.4329071044921875,-119.83709716796875,anonymous,EN,1008,19,Female,,Hispanic or Latino,,Undergraduate student,somewhat relevant,somewhat relevant,slightly relevant,somewhat relevant,not very relevant,not very relevant,not very relevant,slightly relevant,slightly relevant,slightly relevant,very relevant,very relevant,slightly relevant,slightly relevant,slightly relevant,slightly relevant,slightly disagree,moderately agree,slightly disagree,strongly agree,strongly agree,slightly agree,slightly agree,strongly agree,strongly disagree,slightly disagree,strongly agree,strongly agree,strongly agree,slightly agree,slightly disagree,strongly agree,False,True,False,True,True,True,False,True,True,True,True,True,True,Slightly disgusting,Very disgusting,Very disgusting,Very disgusting,Very disgusting,Very disgusting,Very disgusting,Very disgusting,Slightly disgusting,Very disgusting,Slightly disgusting,Very disgusting,No,0-5 years old,6-9 years old,Right-handed,50,,,50,100,,100,100,100,49,100,100,Somewhat Liberal,Moderately important,https://surveys.qualtrics.com/jfe/form/SV_dbqz71528jakgZv,,,,,,,
2019-05-08 16:48:27,2019-05-08 17:30:40,IP Address,128.111.149.101,100,2533,True,2019-05-08 17:30:41,R_yt0WPrE79LxRuUh,,,,,34.4329071044921875,-119.83709716796875,anonymous,EN,1009,19,Female,,Black or African-American,,Undergraduate student,very relevant,very relevant,not very relevant,very relevant,very relevant,not at all relevant,somewhat relevant,very relevant,very relevant,not very relevant,slightly relevant,extremely relevant,extremely relevant,very relevant,somewhat relevant,very relevant,slightly agree,strongly agree,moderately disagree,strongly agree,moderately disagree,strongly agree,strongly agree,slightly agree,slightly agree,slightly agree,moderately disagree,strongly agree,strongly disagree,strongly disagree,moderately agree,slightly agree,False,True,False,True,True,True,False,False,True,True,True,True,True,Very disgusting,Slightly disgusting,Very disgusting,Slightly disgusting,Very disgusting,Very disgusting,Slightly disgusting,Slightly disgusting,Not disgusting,Very disgusting,Not disgusting,Slightly disgusting,Yes,,,Right-handed,10,50,100,80,100,50,50,50,50,80,100,70,Somewhat Liberal,Extremely important,https://surveys.qualtrics.com/jfe/form/SV_dbqz71528jakgZv,,,,,,,
2019-05-10 12:53:40,2019-05-10 13:25:23,IP Address,128.111.149.101,100,1903,True,2019-05-10 13:25:24,R_3EsDGOhMaVSWr2x,,,,,34.4329071044921875,-119.83709716796875,anonymous,EN,1011,21,Male,,Asian,,Undergraduate student,very relevant,very relevant,very relevant,very relevant,very relevant,not very relevant,very relevant,very relevant,extremely relevant,not at all relevant,not at all relevant,very relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,slightly agree,strongly agree,moderately agree,moderately agree,moderately disagree,moderately agree,strongly disagree,slightly agree,strongly disagree,slightly agree,slightly disagree,slightly agree,strongly disagree,slightly agree,slightly disagree,slightly agree,True,False,False,False,False,False,False,True,True,True,False,False,True,Very disgusting,Very disgusting,Very disgusting,Very disgusting,Slightly disgusting,Very disgusting,Slightly disgusting,Slightly disgusting,Not disgusting,Very disgusting,Not disgusting,Slightly disgusting,Yes,,,Right-handed,50,50,50,50,50,50,50,50,50,100,50,50,Neither Liberal Nor Conservative,Not at all important,https://surveys.qualtrics.com/jfe/form/SV_dbqz71528jakgZv,,,,,,,
2019-05-10 12:53:18,2019-05-10 13:29:37,IP Address,128.111.149.100,100,2178,True,2019-05-10 13:29:38,R_9pjP0KsNi0JERB7,,,,,34.4329071044921875,-119.83709716796875,anonymous,EN,1010,19,Female,,Asian,,Undergraduate student,very relevant,very relevant,somewhat relevant,somewhat relevant,somewhat relevant,not at all relevant,somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,slightly relevant,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly agree,False,True,False,True,False,True,False,True,True,False,True,True,True,Very disgusting,Very disgusting,Very disgusting,Very disgusting,Slightly disgusting,Very disgusting,Slightly disgusting,Slightly disgusting,Not disgusting,Very disgusting,Slightly disgusting,Not disgusting,No,0-5 years old,0-5 years old,Left-handed,50,50,50,50,50,,50,50,50,50,50,50,Neither Liberal Nor Conservative,Slightly important,https://surveys.qualtrics.com/jfe/form/SV_dbqz71528jakgZv,,,,,,,
2019-05-15 16:57:07,2019-05-15 17:40:58,IP Address,128.111.149.100,100,2631,True,2019-05-15 17:40:58,R_9n1QMjXxt3hit4l,,,,,34.4329071044921875,-119.83709716796875,anonymous,EN,1012,19,Male,,Hispanic or Latino,,Undergraduate student,very relevant,very relevant,somewhat relevant,very relevant,not very relevant,not at all relevant,not very relevant,very relevant,very relevant,somewhat relevant,slightly relevant,very relevant,very relevant,somewhat relevant,very relevant,not very relevant,slightly agree,strongly agree,moderately disagree,slightly agree,slightly disagree,strongly agree,slightly disagree,slightly agree,slightly disagree,moderately disagree,moderately disagree,moderately disagree,slightly disagree,slightly disagree,moderately disagree,slightly disagree,False,False,False,True,False,False,True,False,False,False,True,True,True,Slightly disgusting,Very disgusting,Slightly disgusting,Slightly disgusting,Not disgusting,Very disgusting,Slightly disgusting,Not disgusting,Not disgusting,Very disgusting,Not disgusting,Not disgusting,No,6-9 years old,6-9 years old,Right-handed,60,50,44,39,48,32,57,54,51,68,80,39,Somewhat Liberal,Moderately important,https://surveys.qualtrics.com/jfe/form/SV_dbqz71528jakgZv,,,,,,,
