,words,corr_ans,category,mask
0,sowntrodden,right,nonword,&&&&&&&&&&&
1,win,left,fairness.virtue,&&&
2,were,left,neutral,&&&&
3,papert,right,nonword,&&&&&&
4,neneficence,right,nonword,&&&&&&&&&&&
5,chared,right,nonword,&&&&&&
6,brudent,right,nonword,&&&&&&&
7,done,left,neutral,&&&&
8,victims,left,care.vice,&&&&&&&
9,nonobservalt,right,nonword,&&&&&&&&&&&&
10,noped,right,nonword,&&&&&
11,nomparisons,right,nonword,&&&&&&&&&&&
12,both,left,neutral,&&&&
13,gowlands,right,nonword,&&&&&&&&
14,baklara,right,nonword,&&&&&&&
15,honstables,right,nonword,&&&&&&&&&&
16,encourage,left,authority.virtue,&&&&&&&&&
17,esquisiteness,right,nonword,&&&&&&&&&&&&&
18,alar,right,nonword,&&&&
19,there,left,neutral,&&&&&
20,lachelor,right,nonword,&&&&&&&&
21,spag,,nonword,&&&&
22,threatened,left,fairness.vice,&&&&&&&&&&
23,ability,left,authority.virtue,&&&&&&&
24,front,left,neutral,&&&&&
25,elsewhere,left,neutral,&&&&&&&&&
26,reviked,right,nonword,&&&&&&&
27,mostly,left,neutral,&&&&&&
28,saned,,nonword,&&&&&
29,therefore,left,neutral,&&&&&&&&&
30,good,left,care.virtue,&&&&
31,nackers,right,nonword,&&&&&&&
32,ejanulated,right,nonword,&&&&&&&&&&
33,clean,left,sanctity.virtue,&&&&&
34,fifty,left,neutral,&&&&&
35,sidearbs,right,nonword,&&&&&&&&
36,menizen,,nonword,&&&&&&&
37,rejected,left,authority.vice,&&&&&&&&
38,festate,right,nonword,&&&&&&&
39,shoirmaster,,nonword,&&&&&&&&&&&
40,ning,right,nonword,&&&&
41,oam,right,nonword,&&&
42,towards,left,neutral,&&&&&&&
43,become,left,neutral,&&&&&&
44,fraud,left,fairness.vice,&&&&&
45,fighters,left,authority.vice,&&&&&&&&
46,either,left,neutral,&&&&&&
47,hence,left,neutral,&&&&&
48,godlaness,right,nonword,&&&&&&&&&
49,values,left,sanctity.virtue,&&&&&&
50,Lacedonia,right,nonword,&&&&&&&&&
51,about,left,neutral,&&&&&
52,counpy's,right,nonword,&&&&&&&&
53,pescinded,right,nonword,&&&&&&&&&
54,metibolic,right,nonword,&&&&&&&&&
55,anyhow,left,neutral,&&&&&&
56,sharing,left,loyalty.virtue,&&&&&&&
57,illegal,left,fairness.vice,&&&&&&&
58,cromiscuity,right,nonword,&&&&&&&&&&&
59,scalbel,right,nonword,&&&&&&&
60,also,left,neutral,&&&&
61,hand,left,sanctity.virtue,&&&&
62,divility,right,nonword,&&&&&&&&
63,friends,left,loyalty.virtue,&&&&&&&
64,civilians,left,care.vice,&&&&&&&&&
65,baladroit,right,nonword,&&&&&&&&&
66,each,left,neutral,&&&&
67,proached,right,nonword,&&&&&&&&
68,thadowed,right,nonword,&&&&&&&&
69,wonderfujnoss,right,nonword,&&&&&&&&&&&&&
70,besides,left,neutral,&&&&&&&
71,army,left,loyalty.vice,&&&&
72,atson,right,nonword,&&&&&
73,laming,right,nonword,&&&&&&
74,wherever,left,neutral,&&&&&&&&
75,commitment,left,sanctity.virtue,&&&&&&&&&&
76,benefit,left,fairness.virtue,&&&&&&&
77,fegard,right,nonword,&&&&&&
78,ammessment,right,nonword,&&&&&&&&&&
79,violence,left,care.vice,&&&&&&&&
80,emassion,right,nonword,&&&&&&&&
81,everything,left,neutral,&&&&&&&&&&
82,Daptist,right,nonword,&&&&&&&
83,myself,left,neutral,&&&&&&
84,men,left,loyalty.vice,&&&
85,hereby,left,neutral,&&&&&&
86,somehow,left,neutral,&&&&&&&
87,juck,right,nonword,&&&&
88,allears,right,nonword,&&&&&&&
89,groups,left,loyalty.vice,&&&&&&
90,crime,left,fairness.vice,&&&&&
91,forepo,right,nonword,&&&&&&
92,penalty,left,authority.vice,&&&&&&&
93,Loorish,right,nonword,&&&&&&&
94,lorthwhile,right,nonword,&&&&&&&&&&
95,Phintoism,right,nonword,&&&&&&&&&
96,gondensed,right,nonword,&&&&&&&&&
97,less,left,neutral,&&&&
98,erdest,right,nonword,&&&&&&
99,synchronazers,right,nonword,&&&&&&&&&&&&&
100,terrorists,left,fairness.vice,&&&&&&&&&&
101,chadows,right,nonword,&&&&&&&
102,even,left,neutral,&&&&
103,brotesque,right,nonword,&&&&&&&&&
104,epigrach,right,nonword,&&&&&&&&
105,thabbily,right,nonword,&&&&&&&&
106,gusinesslike,right,nonword,&&&&&&&&&&&&
107,suicide,left,care.vice,&&&&&&&
108,pumber,,nonword,&&&&&&
109,further,left,neutral,&&&&&&&
110,hope,left,loyalty.virtue,&&&&
111,killed,left,care.vice,&&&&&&
112,erks,right,nonword,&&&&
113,tove,right,nonword,&&&&
114,riot,left,authority.vice,&&&&
115,slending,right,nonword,&&&&&&&&
116,else,left,neutral,&&&&
117,amoungst,left,neutral,&&&&&&&&
118,forty,left,neutral,&&&&&
119,fifteen,left,neutral,&&&&&&&
120,anything,left,neutral,&&&&&&&&
121,although,left,neutral,&&&&&&&&
122,drumbled,right,nonword,&&&&&&&&
123,whereafter,left,neutral,&&&&&&&&&&
124,praised,left,loyalty.virtue,&&&&&&&
125,conspiracy,left,sanctity.vice,&&&&&&&&&&
126,edancipation,,nonword,&&&&&&&&&&&&
127,latter,left,neutral,&&&&&&
128,crinking,right,nonword,&&&&&&&&
129,precificity,right,nonword,&&&&&&&&&&&
130,iptervention,right,nonword,&&&&&&&&&&&&
131,couldnt,left,neutral,&&&&&&&
132,pulge,right,nonword,&&&&&
133,photocalkodes,right,nonword,&&&&&&&&&&&&&
134,suggists,right,nonword,&&&&&&&&
135,compassion,left,care.virtue,&&&&&&&&&&
136,toward,left,neutral,&&&&&&
137,yane,right,nonword,&&&&
138,harassment,left,sanctity.vice,&&&&&&&&&&
139,focomotive,right,nonword,&&&&&&&&&&
140,itself,left,neutral,&&&&&&
141,energy,left,sanctity.virtue,&&&&&&
142,scandal,left,sanctity.vice,&&&&&&&
143,greaks,right,nonword,&&&&&&
144,been,left,neutral,&&&&
145,letish,right,nonword,&&&&&&
146,gazily,right,nonword,&&&&&&
147,seem,left,neutral,&&&&
148,pullness,right,nonword,&&&&&&&&
149,opportunity,left,fairness.virtue,&&&&&&&&&&&
150,abuse,left,sanctity.vice,&&&&&
151,sliptery,right,nonword,&&&&&&&&
152,thru,left,neutral,&&&&
153,hasks,right,nonword,&&&&&
154,sgrawl,right,nonword,&&&&&&
155,touls,right,nonword,&&&&&
156,agreement,left,fairness.virtue,&&&&&&&&&
157,amount,left,neutral,&&&&&&
158,galamitous,right,nonword,&&&&&&&&&&
159,betrayal,left,loyalty.vice,&&&&&&&&
160,actively,left,authority.virtue,&&&&&&&&
161,totalestic,,nonword,&&&&&&&&&&
162,taxpayung,right,nonword,&&&&&&&&&
163,uller,right,nonword,&&&&&
164,troubla,right,nonword,&&&&&&&
165,growth,left,care.virtue,&&&&&&
166,bycled,,nonword,&&&&&&
167,eight,left,neutral,&&&&&
168,sonvoy,,nonword,&&&&&&
169,officers,left,authority.vice,&&&&&&&&
170,with,left,neutral,&&&&
171,least,left,neutral,&&&&&
172,safe,left,care.virtue,&&&&
173,vurtain,right,nonword,&&&&&&&
174,tomedians,right,nonword,&&&&&&&&&
175,ablow,right,nonword,&&&&&
176,fontacts,right,nonword,&&&&&&&&
177,simplustic,right,nonword,&&&&&&&&&&
178,whither,left,neutral,&&&&&&&
179,halaise,,nonword,&&&&&&&
180,latterly,left,neutral,&&&&&&&&
181,could,left,neutral,&&&&&
182,noone,left,neutral,&&&&&
183,disregord,right,nonword,&&&&&&&&&
184,reelectiob,right,nonword,&&&&&&&&&&
185,give,left,neutral,&&&&
186,support,left,loyalty.virtue,&&&&&&&
187,trust,left,authority.virtue,&&&&&
188,serial,left,sanctity.vice,&&&&&&
189,feleological,right,nonword,&&&&&&&&&&&&
190,safety,left,care.virtue,&&&&&&
191,shoirmaster,right,nonword,&&&&&&&&&&&
192,tabin,right,nonword,&&&&&
193,honored,left,authority.virtue,&&&&&&&
194,glacenta,right,nonword,&&&&&&&&
195,three,left,neutral,&&&&&
196,viscs,,nonword,&&&&&
197,imebreaker,right,nonword,&&&&&&&&&&
198,critics,left,loyalty.vice,&&&&&&&
199,interests,left,fairness.virtue,&&&&&&&&&
